11747391,0662125520,アメ村の中心地、BIG STEPの目の前の雑居ビルにお店を構える『11747391』。エレベーターから降りた先に広がる光景は、アメ村の雑多な街並みからはまるで想像がつかない洗練されたアートギャラリーのよう。パリ・ロンドンから厳選してセレクトされた気鋭のコレクションブランドと世界各地で買い付けたUSEDを融合させたスタイルで独自の世界観を確立。トレンドに敏感な若者を中心に、今日も”異空間”に取り込まれた人々を魅了していくのだ。,1,/img/11747391.jpg,27,5430086,大阪府,大阪市中央区,西心斎橋,,1-5-25,心斎橋,1
グリズリーアメ村店,0662114650,古着好きにはお馴染み、グリズリーによるアメ村にオープンしたばかりの2号店。ヴィンテージを中心とした南船場の本店とは打って変わり、こちらはレギュラーが中心に。デザインの効いた1点モノ、ストリートテイストなアイテム、スウェットなどの定番に加え、レディースが豊富なのもポイント。広々とした空間にビッシリと洋服が詰め込まれているので、アイテム一つひとつをディグする古着屋ならではの醍醐味も味わえる。,2,/img/grizzly.jpeg,27,5420086,大阪府,大阪市中央区,西心斎橋,オーシャンドライブ!F B号,2-12-14,四谷橋,2
vivie,0662446777,アメ村の老舗古着屋pigstyが手掛けるLady's store。古き良きアメリカ古着のセレクトから、変化球的なアイテム、アクセサリーまで幅広くを取り扱う。,2,/img/vivie.jpeg,27,5420086,大阪府,大阪市中央区,西心斎橋,大京心斎橋第2ビル1F,,心斎橋,3
it’s a beautiful day,0662121462,1990年にオープンしショウザンビルで最も長い歴史を持ち、古くは1940年代から80~90年代に作られたMADE IN USAのデッドストックをメインに取り揃える。<リーバイス>や<カーハート>、<ディッキーズ>といったワーク物を始め、90年代のアメカジブームを牽引したブランドもあり、青春時代、渋カジでお洒落に目覚めた40代はもちろん、当時のリアルなアメカジスタイルはファッション好きなユースも魅了する。今後、入手困難になるUSデッドストックは、買うなら今。,2,/img/it’s a beautiful day.jpeg,27,5420086,大阪府,大阪市中央区,西心斎橋,ショウザンビル103,2-13-13,難波,4
PEPIN,0647086567,三角公園の目の前にある雑居ビルの2Fに2012年にオープンしたセレクト系USEDショップ。デザイナーズ古着を始めレギュラー物やヴィンテージ、さらにはドメスティックブランドまで幅広く取り揃える。2000年代初頭の＜マリテ＋フランソア・ジルボー＞や＜イッセイミヤケ＞といったブランドを中心に、デザイン性だけでなくユーティリティに富んだアイテムもスタンバイ。USEDとブランド、それぞれの良さを組み合わせたハイセンスなスタイルを提案している。,2,/img/PEPIN.jpeg,27,5420086,大阪府,大阪市中央区,西心斎橋,橋本ビル2F202,1-7-11,四谷橋,2
CAKE,0662130677,古着の聖地として名高いアメ村エリアで根を張ること22年。アメリカ西海岸の風を感じる小さな路面店には、現地の香りが漂う良質な古着たちが当初から変わらないアイテムセレクトで並ぶ。カラバリやサイズなど種類豊富なスケート＆バンドTシャツは、シーズン問わず取り扱い、中にはレアなヴィンテージモノもスタンバイ。スケートショップよりも豊富なステッカーをはじめとした小物類もかなり充実しているため、界隈のスケーターたちからの支持も厚い。,2,/img/CAKE.jpg,27,5420086,大阪府,大阪市中央区,西心斎橋,第2清水町ビル1F,2-13-18,難波,4
JAMアメリカ村店,0665637905,アメリカ村に古着屋JAMがオープン！ 毎日100着以上バイヤーが厳選した買い付け商品が入荷致します。 110坪もの広大なフロアを占めるミリタリー、ワーク、スポーツ、アウトドアなど のレギュラー商品のみならず、ヴィンテージ好きも唸らす幅広いアイテムを取り揃えるメガストア。 特にアメリカ村店はストリート色の強い80s?90sのアイテムに力を入れていて カルチャーを発信する若者の街にピッタリなラインナップとなっています。,2,/img/JAM.jpeg,27,5420086,大阪府,大阪市中央区,西心斎橋,ビッグステップ サウス M1,2-9-28 ,難波,6
LOFTMAN COOP e-ma,0663417038,LOFTMAN COOP UMEDAのコンセプトである「Century Basic＆New Standard」。「売る人」「買う人」の枠を越えて情報を交換・共有できる場を目指し、オリジナリティー(独創性)、アクティブ(躍動感)、ジェネラリー(普遍性)、ステイブル(安定感)を意味する造語「創動遍定(そうどうへんじょう)」をキーワードにライフスタイルに合わせたデイリーウェアを世界中のブランドやセレクトで表現。,1,/img/LOFTMAN.jpeg,27,5300001,大阪府,大阪市北区,梅田,E-ma B1F,1-12-6,梅田,4
Eight Hundred Ships & Co.,0678966429,"大阪は安土町にお店を構える「Eight Hundred Ships & Co.（エイト ハンドレッド シップス アンド コー）」。ファッションアイテム、生活雑貨、1点もののデッドストック&ヴィンテージアイテムなど、こだわりのあるスタイルを持つ大人のためのアイテムを国内外からセレクトしているショップです。
",1,/img/Eight Hundred Ships.png,27,5410052,大阪府,大阪市中央区,安土町, e-FIT ビル 4F,1-5-7,堺筋本町,4
ZABOU,0662519991,"＜紳士をつくる＞をコンセプトに、大阪・南船場に店を構える「ZABOU（ザボウ）」。その時々の気分はもちろん汲みつつ、どのような人種、スタイルを持った人からも最低限『ふつう』と思ってもらえる、どのような場でもその空間にとけこむデイリーカジュアルを提案しているセレクトショップです。
",1,/img/ZABOU.jpeg,27,5420081,大阪府,大阪市中央区,南船場,第2飯沼ビル,4-14-3,心斎橋,5
WUNDER,0661319697,大阪は梅田からほど近い、中崎町にお店を構える「WUNDER CONCEPT STORE #201（ヴンダー コンセプトストア ニマルイチ）」。〈クリーン / ラフ〉〈ドレス / カジュアル〉〈ファッション / リアルクロージング〉をコンセプトに、独自のフィルターを通して、国やジャンルを問わず良質なモノをセレクトしているショップです。,1,/img/WUNDER.png,27,5300015,大阪府,大阪市北区,中崎西,吉村ビル 2F,1-16,中崎町,1
AYIN,0666249011,「AYIN」が発信する無限の可能性と、その世界観。固定概念にとらわれずセレクトされたハイストリート、モードからVINTAGE。 その全てをジャンルレスなスタイリングの提案で魅了する。,1,/img/AYIN.jpeg,27,5560021,大阪府,大阪市浪速区,幸町,La Douceur（ラ・ドゥセール）湊町 1.2F,1-2-5,難波,4
BIOTOP OSAKA,0665318223,注目ブランドのファッション、ナチュラルコスメや生活雑貨など、国内外から集めたアイテムを展開し、ボタニカルショップやレストランも併設する複合型ショップ。,1,/img/BIOTOP.jpeg,27,5500015,大阪府,大阪市西区,南堀江,メブロ16 番館 1F,1-16-1,四谷橋,4
